"List of Authorised E-Waste Dismantler/Recycler
As on 27.03.2021",,,,
,,,"26.  M/s. KM Global E-Waste Private Limited, Ground Floor Plot no. -359, Sector-8, IMT Manesar,
Gurugram, Haryana",
,,,"27.  M/s. Bluenvir, Plot No. 81, HSIIDC, Rai, Distt: Sonipat",
,,,"28.  M/s Global waste Solutions , khasra No. 71/22/2, 23/2/1, 74/3/2/1 Village ramnagar, Tehsil ganaur,
dist sonipat, Haryana",
6.,Himachal Pradesh,01,"1.     M/s. Shivalik Solid Waste Management Ltd., (Unit – II), Village-Shabowal, Tehsil Nalagarh, District-Solan
HP",1000
7.,"Jammu &
Kashmir",01,"1.     M/s. VRG Groups, Gangyal",165
8.,Karnataka,71,"1.     M/s. Ash Recyclers, No. 94, Thimmaiah Road,
Bangalore- 01",52722
,,,"2.     M/s. Eco-E-Waste Recyclers India Pvt. Ltd., No. 41/1, 42/2, 19&20, 2nd Cross, Muthachari Industrial Estate, Hanumanthappa  Layout,  Mysore  Road,  Bangalore  -
560039",
,,,"3.     M/s.  Sriram  Eco  Raksha  Computer  Services  Pvt.  Ltd. No.  B-29,  KSSIDC  Indl.  Estate,  Bommasandra,  Hosur
Road, Anekal Taluk, Bangalore – 560 099",
,,,"4.     M/s.  E-Friendly  Waste  Recyclers,  First  Floor,  No.  17 1st,  Cross,  Azeez  Sait  Industrial  Town,  Nayandahalli,
Bangalore-560039",
,,,"5.     M/s.  Green  Globe  Enterprise,  No.  108/7,  5th  Cross, Singasandra       Industrial       Area,       Hosur       Road,
Bommandahalli, Bangalore-68",
,,,"6.     M/s.  Shobith  Industry  –Unit  II,  Survey  No.  B-4/1,
KSSIDC Industrial Area, Nanjangud – 571302, Mysore District",
,,,"7.     M/s. Sai Shaakti Chemicals, No. 1/8, Kodipalya Road,
CVR Main Road, Kengeri, Bangalore- 560060",
,,,"8.     M/s.  Eco  Globe  E-Waste  Recyclers,  Plot  No.  87,  2nd
Phase, 2nd Sector, Bidadi Industrial Area, Bidadi Hobli, Ramanagra Taluk and District",
,,,"9.     M/s. E-Hasiru, No. 168/B, 1st Floor, 7th Main Road, 3rd
Phase, Peenya Industrial Area, Bangalore – 558",
,,,"10.  M/s. Green Enabled IT Solutions Pvt. Ltd., No. 2/1, 27th Cross, Behind Krishna Grand Hotel, Banashankari
2nd Stage, Bengaluru",
,,,"11.  M/s. Coral Waters, No. 8E, KIADB Industrial Area,
Hoskote Taluk, Banglaore Rural District",
,,,"12.  M/s. Royal Touch, No. 3/2, 2nd Cross, Ezakiel Industrial Estate, K. G Halli, Nagawara Main Road,
Banglaore",
,,,"13.  M/s. Pharmateck Consultancy, Sy. No. 40/1,
Mangammanapalya, Bommanahalli",
,,,"14.  M/s. Digicomp Complete Solutions Ltd., or Regenersis (India) Pvt. Ltd., No. 86, Grond Floor, 3rd Cross, New Timber Yard Layout, Mysore Road,
Bangalore- 560026",
,,,"15.  M/s. Cerebra Integrated Technologies Ltd., Plot No. 41 to 46, Appasandra village, KIADB Indl. Area,
Narasapura Hobli, kolar Taluk and District",
,,,"16.  M/s. Lube Tech Petro Chemicals, Plot No. 08-A,
Bidadi Industrial Area, 2nd Phase, Sector-1, Bidadi Hobli, Ramanagara Taluk and District",
,,,"17.  M/s. AGK Enterprises, Unit-I, No 33/A, Industrial “A”
Layout, Bannimantap, Mysore - 570015",
,,,"18.  M/s. Aptus Recycling Pvt. Ltd., Sy No. 241/4B, Magnur Village,   Kirgavalu   Hobli,   Malavalli   Taluk   Mandya
District- 571430",
,,,"19.  M/s. Premier Comprint, No. 33/3, abigere Pipe Line Road, Hanumanthaih Industrial Area, chikkabanavara
Post, Bangalore- 560090",
,,,"20.  M/s. E-Parisara Pvt. Ltd., No. 30-P3, Dabaspet
Bangalore",
,,,"21.  M/s.  Tech  Logic,  Unit-2,  Shed  No.  36,  2nd    Main,
Ranganathapura, Bangalore - 560 044",
,,,"22.  M/s. E-Scrapy Recyclers, No.106, Andrahalli Main Road, Byreshwara Industrial Area, Peenya 2nd stage,
Bangalore - 560 058",
,,,"23.  M/s. R. N. Traders, Plot No. 101 Kumbalgodu village,
Bengeri Hobli, Bangalore",
,,,"24.  M/s. KH E-Waste Recyclers, No. 104, 1st Main Road, 4th Cross, Azeez Sait Industrial Area, Nayandahalli,
Bangalore – 39",
,,,"25.  M/s. RPN Industries, Plot No B2, KSSIDC Industrial
Area, Kumbalgodu, Mysore Road, Bangalore-74",
,,,"26.  M/s. Macro Engineering Services, No. 427-E2, Hebbal
Industrial Area, Mysore- 570018",
,,,"27.  M/s.   I   Seven,   #   9/4,   Kachohalli   Industrial   Estate Kachohalli,  Near  Saibaba  Temple,  Laxmipura  Post,
Bengaluru- 562123",
,,,"28.  M/s. SLV Enterprises, The Gachaguppe Village
Kumbalagodu Post, Kengeri Hobli, Bangalore",
,,,"29.  M/s.  XL  Engineering  and  Fabricators,  No.  B-188,  5th
Main, II Stage, Peenya Industrial area, Bangalore- 58",
,,,"30.  M/s. Greenscape Eco Management Pvt. Ltd., Plot No. R-12, Veerasandra Indl Area, Anekal Tq, Bangalore
Urban District – 100",
,,,"31.  M/s. Just E-Care, No Indl estate Station back road,
Bijapur",
,,,"32.  M/s. Trishyirya Recycling India Pvt. Ltd., No. 315, 4th
Phase, Peenya Industrial Estate, Bangalore - 560 058",
,,,"33.  M/s.  E  Pragathi  Recycling  Plot  No.  66,  Road  No.  18,
Anthaasanahalli Indl. Area, IInd Phase, Tumkur",
,,,"34.  M/s. Ingram Micro India Pvt. Ltd., I Floor, Plot No. 1- 4, Sy No. 5/2, 15th Km, Singasandra Post, Baretena Agrahara, NH-7, Hosur Main Road, Bangalore-
560100",
,,,"35.  M/s. Vans Chemistry, Plot No. 94/5, Shed NO. 13R14,
SRRLayout, Kannalli Village, Bangalore- 560094",
,,,"36.  M/s.  Intro Tech Recyclers, No. C-50/1, First Floor, KSSIDC Industrial Estate, Kumbalgodu, Bangalore-
560060",
,,,"37.  M/s. Nobel Technology, No. 46, 14th Cross, 4th Phase,
Peenya Industrial Area, Bangalore - 596058",
,,,"38.  M/s. E-Parisara Pvt. Ltd., Unit -2, No. P-10, (a), 3rd
Stage, Peenya industrial Area, Bangalore – 560058",
,,,"39.  M/s. Moogambigai Metal Refineries, Unit (3), Plot No. 174, Industrial Area, Baikampady Mangalore-
575011",
,,,"40.  M/s. Sogo Synergy Private Limited, Shed No. A-57, KSSIDC Industrial Estate, Bommasandra, Hosur Road,
Anekal Taluk, Bangalore Urban District – 560099",
,,,"41.  M/s. Trishyraya Recycling Indi Pvt. Ltd., No. 315, 4th
Phase, Peenya Industrial Area, Bangalore",
,,,"42.  M/s. MKK E-Waste Enterprises, Shed No. 292, Belur
Industrial Area, Belur, Dharwad Dist- 580011",
,,,"43.  M/s. BSMR Metals, No. R. O 7, KSSIDC Industrial Estate, Veerasandra II stage, Attibele Hobli,
Bangalore Urban District",
,,,"44.  M/s. Newtek Recyclers, No. 124, Byreveshwara Industrial Estate, Andhrahalli Main Road, Peenya 2nd
Stage, Bangalore - 560091",
,,,"45.  M/s. Mak Technology Industrial, Shed No. SP-5, Veerasandra KSSIDC Industrial Estate, Phase 0-11, 3rd Cross, Huskur Min Road, Electronic City Post,
Bengaluru",
,,,"46.  M/s. Earth Sense Recycle Pvt. Ltd., Industrial Plot No. spl. 14, Jigani 2nd Stage, Jigani Village and Hobli,
Bangalore - 560105",
,,,"47.  M/s. General Eco Transtech Private Limited, shed No.
B-15, KSSIDC Industrial Area, Tamaka, Kolar",
,,,"48.  M/s. 4R Recycling pvt. Ltd.,",
,,,"49.  M/s. Prakruthi Recycling Pvt. Ltd., Sy No. 22, Flat No. 103, 5th Block, 5th Cross, SSI Area, Rajajinagar,
Bangalore- 560010",
,,,"50.  M/s. Puthur Infortech pvt. Ltd., No. 55, 1st Floor 5th
Cross, Banaswadi Main Road, Bangalore- 560043",
,,,"51.  M/s. SA Ewaste Recyclers, B-4, KSSIDC Indl Estate,
Yellapura Village, Doddaballapura Taluk, Banglaore –",
,,,"52.  M/s. Elxion Pvt. Ltd., P. No. 24, 23rd A. Main Road, J.P
Nagar 2nd Phase Indl Bangalore- 560078",
,,,"53.  M/s. K. G. Nandini Enterprises, No. 46/4, 46/5, Billakempanahalli Village, Bidadi Hobli,
Ramanagaram District.",
,,,"54.  M/s. Eco Bird Recycling Company Pvt. Ltd., No. 185, Azeez Sait industrial Area, Nayandahalli, Mysore
Road, Bangalore -39",
,,,"55.  M/s. Ameena Enterprises Shed No. C-199, KSSIDC
Industrial Estate, Hebbal,",
,,,"56.  M/s. E-R3 Solutions Pvt. Ltd., No. C-430, 1st Cross, 1st
Stage Peenya Industrial Area, Bangalore - 560058",
,,,"57.  M/s. Afeefa Spectro Alloys, Sy No. 289/1, Nagaragere
village, Gauribidnur Tq.",
,,,"58.  M/s. Rashi E-Waste Solutions Pvt. Ltd., SW-51, Shed No. 26, Phase II, Apparel Park, Doddaballapura,
Bangalore Rural District",
,,,"59.  M/s. Coral Communication and Networks Pvt. Ltd., No. 52, Hoskote Industrial area, Bangalore Rural
District",
,,,"60.  M/s. Ash Recyclers, No. 3, KSSIDC Ind Estate,
Hoskote, Bangalore Rural District",
,,,"61.  M/s. Vans Chemistry Pvt. Ltd., Plot No. 47 & 48, of Narsapura industrial Area 1st Phase, KIADB Narsapura Industrial Area, Narsapura Hobli, Kolar Taluk &
District",
,,,"62.  M/s. E Pragathi Recycling, Plot No. 66, Road No. 18,
Antharasanahalli Indl Area, IInd Phase, Tumkur",
,,,"63.  M/s. E-Green Recycling, Plot No. 86-B, Jigani 1st
Phase, Anekal Taluk, Bangalore",
,,,"64.  M/s. Sri Vasavi Recyclers India Pvt. Ltd., P. No. 57 & 58, KIADB Indl Area, 1st Phase, Harohalli, Kanakapura
Taluk, Ramanagara District",
,,,"65.  M/s. Excel Recycling P. No. 212/2, Tippu Town,
Rammanahalli village, mysuru Taluk & District",
,,,"66.  M/s Sheltron Digital systems Pvt.Ltd No.27, maney
estate, Sy.no.121, Kumbalgodu, Bengaluru-560074",
,,,"67.  M/s Tes-Amm, India pvt. Ltd.  Sy. No. 118, Site. No. 8, Mookambika  Temple Road, Machodalli Forest Gate,
Magadi Road, Bangalore",
,,,"68.  M/s Sonal Metacop, No.5, Sy No.5/1, Kachohalli Industrial Estate, Kachohalli, Laxmipura Post,
Bangalore-562123",
,,,"69.  M/s E-Ward & Co.  No.11, Mutthachari Industrial
area, Nayandahalli, Mysore road, Bangalore-560039",
,,,"70.  M/s Trackon E-waste Recyclers Pvt. Ltd,  No.28, Gerupalya, 2nd Phase, Kumbalgodu Industrial Area,
Benglore-560074",
,,,"71.  Moogambigai Metal Refineries, No. 89 & 90
Industrial Area, bAIKAMPADY mANGALORE-575011",
9.,Maharashtra,75,"1.   M/s Eco Recycling Ltd.  Eco House, Near Top Glass Enclave, Bhoj Pada, Sativali Road, Vasai (E) Dist:
Thane",78179
,,,"2.   M/s Ecocentric Management Pvt. Ltd. Plot No.17,
Universal Industrial Estate, Vill. Sajgaon, Tal. Khalapur, Distt. Raigad",
,,,"3.   M/s. ECO Friend Industrial, Plot No. A-205, TTC
Industrial Area, MIDC Pawane, Navi Mumbai- 400710",
,,,"4.   M/s. Evergreen Recyclekaro (I) Pvt. Ltd., S. No. 63/4,
Vill: Varle, Tal: Wada, Dist: Thane",
,,,"5.   M/s. Arihant E- waste Recycling Pvt. Ltd. Gat No. 307/1, Shada Road, Dodaiacha Tal: Sindkheda Dist:
Dhule",
,,,"6.   M/s. E-incarnation Recycling Pvt. Ltd., Plot No. J-56,
MIDC Tarapur, Dist: Thane",
,,,"7.   M/s. Hi-Tech Recycling Pvt. Ltd., Gut No. 42, Plot No.
657, A/P. Bhukum, Ta.. Mulshi, Distt. Pune",
,,,"8.   M/s. TTCWMA, Plot No. P-128, TTC MIDC Indl. Area, Near LFT Infotech Shil Mahape Road, Mahape, Navi
Mumbai- 400710",
,,,"9.   M/s. Green IT Recycling Centre Pvt. Ltd., D-222, MIDC
Ranjangaon, Tal. Shirur, Dist. Pune",
,,,"10.   M/s. Green Enviro Management Solutions LLP, Plot
No. 51, Gat No. 376, Kanhe, Tal: Maval, District: Pune",
,,,"11.   M/s. Prabhunath Traders, SR No. 314, H No. 2,  At Post Uruli Devachi, Katraj-Saswad Highway, Tal:
Haveli, Distt. Pune",
,,,"12.   M/s. Kalawishwa Electrical, B-47, (Sub-Letting),
MIDC, Waluj, Aurangabad",
,,,"13.   M/s. Eco Tantra LLP, Gat No. 177 & 178, Tal: Bhor,
District Pune",
,,,"14.   M/s. Baban Plastic, Gut No. 1, Sajapur, Aurangabad",
,,,"15.   M/s. Earth Sense  Recycle Pvt Ltd,            A-7 , Gala no: 1,2&3, Ground Floor, Prena Complex, Anjur
Phata, Vill: Val, Tal: Bhiwandi  Dist: Thane",
,,,"16.   M/s.  Just Dispose Recycling Pvt Ltd, A- 103,104,110,119, Arvind Industrial Estate, Navghar ,
Tal: Vasai, Dist: Thane",
,,,"17.   M/s. Mercury Metal industries, Plot no. D-48, MIDC
Mahad, Tal: Mahad, Dist: - Raigad, Maharashtra",
,,,"18.   M/s. Green World Recycling Vill: Val, Pritesh Complex, Building No; B-12, Gala No. 7,8 Anjur Phata,
Village: Val Tal: Bhiwandi, Dist: Thane",
,,,"19.   M/s. Suritex Pvt. Ltd., Plot No. B-111, MIDC Butibori,
Dist, Nagpur",
,,,"20.   M/s. CBS E-Waste Recycling Ind. Gut No. 18/63/2, At.
Khnapur, Tal. Alcole, Distt. Ahmednagar",
